,Stock Name,Price 6/27/2016,Price 6/28/2016,%Change
175,"""ARCC""",13.87,14.11,1.73035328
176,"""ARKR""",21.4,22.98,7.38317757
177,"""ARTX""",2.59,2.71,4.633204633
178,"""ARQL""",1.78,1.82,2.247191011
179,"""DWAT""",10.09,10.152,0.614469772
180,"""AROW""",28.4,28.85,1.584507042
181,"""ARWR""",5.14,5.31,3.307392996
182,"""ARTNA""",33.08,33.08,0
183,"""ARTW""",2.992,3.02,0.935828877
184,"""ASNA""",6.59,6.63,0.606980273
185,"""ASND""",12.93,13.39,3.557617943
186,"""APWC""",2.18,2.37,8.71559633
187,"""ASML""",92.5,94.4,2.054054054
188,"""ASPU""",0.151,0.152,0.662251656
189,"""AZPN""",38.02,38.34,0.841662283
190,"""ASMB""",5.1,5.44,6.666666667
191,"""ASRT""",18.15,19.23,5.950413223
192,"""ASFI""",10.3,10.42,1.165048544
193,"""ASTE""",53.64,53.44,-0.372856078
194,"""ATRO""",31.83,31.8,-0.094250707
195,"""ALOT""",15.14,15.4,1.717305152
196,"""ASTC""",1.69,1.69,0
197,"""ASUR""",4.65,4.86,4.516129032
198,"""ATRA""",20.78,22.15,6.592877767
199,"""ATHX""",1.96,2.08,6.12244898
200,"""AAME""",4.18,4.15,-0.717703349
201,"""ACBI""",13.48,13.8,2.37388724
202,"""AUB""",24.1,24.14,0.165975104
203,"""AY""",16.26,17.13,5.350553506
204,"""ATLC""",3.04,3,-1.315789474
205,"""AAWW""",38.45,38.81,0.936280884
206,"""AFH""",16.67,16.77,0.599880024
207,"""TEAM""",24.95,25.38,1.723446894
208,"""ATNI""",76.25,75.98,-0.354098361
209,"""ATOS""",0.295,0.289,-2.033898305
210,"""ATRC""",14.11,14.35,1.700921332
211,"""ATRI""",433.52,435.51,0.459033032
212,"""ATIS""",1.01,1.25,23.76237624
213,"""LIFE""",2.56,2.53,-1.171875
214,"""AUBN""",28.91,28.8,-0.38049118
215,"""AUDC""",3.95,4.05,2.53164557
216,"""AEYE""",4,4,0
217,"""AUPH""",2.6,2.7,3.846153846
218,"""EARS""",3.88,4.32,11.34020619
219,"""JG""",0.6,0.6,0
220,"""ADSK""",50.54,51.48,1.85991294
221,"""ADP""",85.66,87.92,2.638337614
222,"""AUTO""",12.92,13.4,3.715170279
223,"""AVDL""",9.44,10.22,8.262711864
224,"""AVEO""",0.92,0.94,2.173913043
225,"""AVNW""",6.18,6.55,5.987055016
226,"""CDMO""",0.36,0.37,2.777777778
227,"""CDMOP""",17.06,17.24,1.055099648
228,"""AVID""",5.55,5.71,2.882882883
229,"""AVGR""",11.21,11.89,6.066012489
230,"""CAR""",28.54,29.12,2.032235459
231,"""RCEL""",1.48,1.51,2.027027027
232,"""AVT""",38.92,39.68,1.952723535
233,"""AWRE""",4.1,4.07,-0.731707317
234,"""ACLS""",2.52,2.58,2.380952381
235,"""AXGN""",6.24,6.58,5.448717949
236,"""AAXN""",22.76,23.55,3.471001757
237,"""AXGT""",91.76,99.68,8.631211857
238,"""AXSM""",7.65,7.52,-1.699346405
239,"""AXTI""",2.97,3.13,5.387205387
240,"""AYTU""",0.36,0.39,8.333333333
241,"""BCOM""",21.87,23.36,6.812985825
242,"""RILY""",9.55,9.57,0.209424084
243,"""BOSC""",2.85,2.909,2.070175439
244,"""BIDU""",156.92,160.41,2.224063217
245,"""BCPC""",57.96,57.31,-1.121463078
246,"""BLDP""",1.25,1.26,0.8
247,"""BANF""",57.13,58.39,2.205496237
248,"""BANFP""",27.48,27,-1.746724891
249,"""BCTF""",21,21.35,1.666666667
250,"""BFC""",28,28,0
251,"""BOCH""",6.39,6.64,3.912363067
252,"""BMRC""",48.39,47.42,-2.004546394
253,"""BKSC""",16.05,15.9,-0.934579439
254,"""BOTJ""",12.23,12.24,0.081766149
255,"""OZK""",34.82,35.95,3.245261344
256,"""BFIN""",11.51,11.67,1.390095569
257,"""BWFG""",21.44,21.99,2.565298507
258,"""BANR""",39.03,40.77,4.458109147
259,"""BZUN""",6.16,6.33,2.75974026
260,"""DFVL""",71.97,71.97,0
261,"""DFVS""",22.67,22.9,1.014556683
262,"""DLBS""",11.303,11.42,1.035123419
263,"""DTUL""",67.98,67.98,0
264,"""DTUS""",27.024,27.5,1.761397276
265,"""DTYL""",82.03,82.03,0
266,"""DTYS""",10.73,10.72,-0.093196645
267,"""FLAT""",63.73,63.84,0.17260317
268,"""STPP""",30.76,30.77,0.032509753
269,"""TAPR""",16.497,16.56,0.381887616
270,"""BBSI""",38.09,38.36,0.708847467
271,"""GOLD""",21.11,20.63,-2.273803884
272,"""BSET""",26.79,26.2,-2.202314296
273,"""GLG""",1.56,1.75,12.17948718
274,"""BCML""",11.98,12.02,0.333889816
275,"""BBQ""",5.03,4.99,-0.795228628
276,"""BCBP""",10.27,10.25,-0.194741967
277,"""BECN""",42.86,43.01,0.349976668
278,"""BBGI""",4.51,4.64,2.88248337
279,"""BBBY""",41.86,42.59,1.743908266
280,"""BGNE""",28,29.53,5.464285714
281,"""BELFA""",15.02,15,-0.133155792
282,"""BELFB""",17.31,17.2,-0.635470826
283,"""BLPH""",1.57,1.76,12.10191083
284,"""BLCM""",11.54,12.4,7.452339688
285,"""BLU""",0.7942,0.9747,22.72727273
286,"""BNFT""",34.49,35.49,2.899391128
287,"""BNTC""",1.31,1.326,1.221374046
288,"""BRY""",0.2,0.195,-2.5
289,"""BGCP""",8.38,8.49,1.312649165
290,"""BGFV""",8.81,8.77,-0.454029512
291,"""BASI""",1.06,1.2,13.20754717
292,"""BCDA""",14.04,16.2,15.38461538
293,"""BIOC""",0.619,0.65,5.008077544
294,"""BCRX""",2.66,2.81,5.639097744
295,"""BDSI""",2.27,2.35,3.524229075
296,"""BIIB""",224.6,228.52,1.745325022
297,"""BHTG""",4.05,3.2,-20.98765432
298,"""BKYI""",0.26,0.28,7.692307692
299,"""BIOL""",1,1.07,7
300,"""BLFS""",1.66,1.64,-1.204819277
301,"""BLRX""",0.791,0.79,-0.12642225
302,"""BMRN""",74.61,79.49,6.540678193
303,"""BMRA""",1.45,1.52,4.827586207
304,"""BVXV""",3.7,3.81,2.972972973
305,"""BPTH""",2.16,2.19,1.388888889
306,"""BSGM""",1.5,1.51,0.666666667
307,"""BSTC""",36.13,38.09,5.424854691
308,"""TECH""",107.68,109.13,1.346582467
309,"""BEAT""",15.03,15.75,4.790419162
310,"""BJRI""",43.68,43.54,-0.320512821
311,"""BLKB""",63.53,63.8,0.424996065
312,"""BKCC""",7.5,7.52,0.266666667
313,"""TCPC""",14.78,14.83,0.338294993
314,"""BLNK""",0.44,0.42,-4.545454545
315,"""BLMN""",17.42,17.39,-0.172215844
316,"""BCOR""",9.38,9.91,5.650319829
317,"""BLBD""",11.75,11.53,-1.872340426
318,"""BHAT""",700,680,-2.857142857
319,"""BLUE""",36.67,39.715,8.303790564
320,"""BKEP""",4.99,5.09,2.004008016
321,"""BKEPP""",6.78,6.86,1.179941003
322,"""BPMC""",17.56,18.25,3.929384966
323,"""ITEQ""",22.52,22.92,1.776198934
324,"""BMCH""",16.74,16.84,0.597371565
325,"""WIFI""",8.4,8.73,3.928571429
326,"""BOKF""",56.78,58.51,3.046847482
327,"""BNSO""",1.27,1.28,0.787401575
328,"""BKNG""",1186.05,1204.25,1.534505291
329,"""BRQS""",10.06,10.06,0
330,"""BPFH""",10.79,11.14,3.243744208
331,"""EPAY""",20.54,20.99,2.190847128
332,"""BCLI""",2.32,2.44,5.172413793
333,"""BBI""",29.54,30.73,4.028436019
334,"""BDGE""",27.32,27.75,1.573938507
335,"""BRID""",12.54,12.54,0
336,"""BCOV""",8.16,8.46,3.676470588
337,"""BHF""",0.001,11.92,1191900
338,"""AVGO""",143.63,149.77,4.274872937
339,"""BVSN""",6.45,6.52,1.085271318
340,"""BYFC""",1.8,1.89,5
341,"""BWEN""",4.05,4.1,1.234567901
342,"""BPY""",22.2,22.4,0.900900901
343,"""BRKL""",10.44,10.56,1.149425287
344,"""BRKS""",10.84,10.92,0.73800738
345,"""DOOO""",16.68,16.68,0
346,"""BRKR""",21.96,22.08,0.546448087
347,"""BMTC""",27.84,27.95,0.395114943
348,"""BSQR""",5.31,5.28,-0.564971751
349,"""BLDR""",10.19,10.68,4.808635918
350,"""CFFI""",41.99,42.96,2.310073827
351,"""CHRW""",72.18,73.42,1.717927404
352,"""CCMP""",40.78,41.14,0.882785679
353,"""CDNS""",23.07,23.6,2.297355873
354,"""CDZI""",5.18,5.53,6.756756757
355,"""CZR""",7.73,7.91,2.328589909
356,"""CSTE""",32.5,32.92,1.292307692
357,"""CLBS""",0.5,0.502,0.4
358,"""CHY""",10.24,10.45,2.05078125
359,"""CHI""",9.43,9.68,2.651113468
360,"""CCD""",17.61,18.12,2.896081772
361,"""CHW""",6.63,6.79,2.413273002
362,"""CGO""",10.46,10.72,2.485659656
363,"""CSQ""",9.49,9.69,2.10748156
364,"""CAMP""",13.67,14.09,3.072421361
365,"""CVGW""",65.61,65.49,-0.182898948
366,"""CALA""",3.69,3.97,7.588075881
367,"""CALM""",41.77,41.91,0.335168781
368,"""CLMT""",4.31,4.75,10.20881671
369,"""CATC""",46.9,47,0.213219616
370,"""CAC""",40.77,41.36,1.447142507
371,"""CAMT""",2.03,2.04,0.492610837
372,"""CSIQ""",13.8,14.52,5.217391304
373,"""CGIX""",1.88,1.96,4.255319149
374,"""CPHC""",10.967,10.411,-5.069754719
375,"""CCBG""",14.01,13.76,-1.784439686
376,"""CPLP""",2.91,2.96,1.718213058
377,"""CSWC""",13.81,13.79,-0.144822592
378,"""CPTA""",13.43,13.72,2.159344751
379,"""CFFN""",13.33,13.52,1.425356339
380,"""CAPR""",3.85,4.33,12.46753247
381,"""CPST""",1.25,1.35,8
382,"""CARA""",4.47,4.79,7.158836689
383,"""CARB""",9,9.07,0.777777778
384,"""CSII""",16.775,17.37,3.546944858
385,"""CATM""",37.21,38.05,2.257457673
386,"""CDNA""",4.61,4.66,1.084598698
387,"""CECO""",5.38,5.44,1.115241636
388,"""CTRE""",13.18,13.4,1.669195751
389,"""CARO""",18.04,18.37,1.829268293
390,"""CART""",6.01,6.19,2.995008319
391,"""CRZO""",33.54,35.22,5.008944544
392,"""TAST""",11.8,11.72,-0.677966102
393,"""CARV""",3.99,3.75,-6.015037594
394,"""CWST""",7.54,7.54,0
395,"""CASY""",124.08,124.04,-0.032237266
396,"""CASI""",1.08,1.09,0.925925926
397,"""CASS""",50.32,49.94,-0.755166932
398,"""SAVA""",1.99,2.06,3.51758794
399,"""CATB""",3.89,4.08,4.884318766
400,"""CBIO""",1.21,1.24,2.479338843
401,"""CPRX""",0.73,0.75,2.739726027
402,"""CATY""",26.27,27.01,2.816901408
403,"""CVCO""",87.56,88.71,1.313385107
404,"""CBFV""",21.48,20.975,-2.351024209
405,"""CBOE""",63.56,63.91,0.550660793
406,"""CDK""",53.04,53.79,1.414027149
407,"""CDW""",39.29,39.64,0.890811911
408,"""CECE""",8.43,8.49,0.711743772
409,"""CELG""",94.85,97.28,2.561939905
410,"""CELGZ""",1.54,1.454,-5.584415584
411,"""CLDX""",4.09,4.35,6.356968215
412,"""CLRB""",3.25,3.33,2.461538462
413,"""CLLS""",25.34,25.97,2.486187845
414,"""CBMG""",11.34,12.03,6.084656085
415,"""CLSN""",1.25,1.27,1.6
416,"""CELH""",2.32,2.34,0.862068966
417,"""CYAD""",42.45,28.3,-33.33333333
418,"""CETX""",3.07,3.37,9.771986971
419,"""CDEV""",9.8,9.8,0
420,"""CSFL""",14.86,15.08,1.480484522
421,"""CETV""",2.06,2.18,5.825242718
422,"""CFBK""",1.28,1.29,0.78125
423,"""CENT""",21.32,21.21,-0.515947467
424,"""CENTA""",20.43,20.12,-1.517376407
425,"""CVCY""",13.36,13.71,2.619760479
426,"""CTRC""",3.409,3.4,-0.26400704
427,"""CENX""",5.855,6.09,4.013663535
428,"""CNBKA""",40,40.74,1.85
429,"""CNTY""",5.82,5.86,0.687285223
430,"""CRNT""",1.53,1.53,0
431,"""CERC""",2.25,2.39,6.222222222
432,"""CERN""",53.71,55.08,2.550735431
433,"""CERS""",5.87,5.99,2.044293015
434,"""CEVA""",25.99,25.98,-0.038476337
435,"""CSBR""",2.15,2.2,2.325581395
436,"""CYOU""",18.75,19.65,4.8
437,"""BURG""",0.45,0.44,-2.222222222
438,"""CTHR""",1.04,1.05,0.961538462
439,"""GTLS""",22.06,22.68,2.810516772
440,"""CHTR""",216.28,218.38,0.970963566
441,"""CTAC""",2.037,3.13,53.65733922
442,"""CHKP""",77.07,77.4,0.428182172
443,"""CHEK""",1.04,1.4,34.61538462
444,"""CEMI""",7.92,7.98,0.757575758
445,"""CCXI""",4.36,4.52,3.669724771
446,"""CHMG""",27.9,28.69,2.831541219
447,"""CHFS""",0.48,0.421,-12.29166667
448,"""CHMA""",2.76,2.79,1.086956522
449,"""PLCE""",75.51,76.71,1.589193484
450,"""CMRX""",3.56,3.81,7.02247191
451,"""CAAS""",3.21,3.15,-1.869158879
452,"""CBPO""",101.05,104.07,2.988619495
453,"""CCCL""",0.359,2.841,691.3649025
454,"""CCRC""",9.22,9.88,7.15835141
455,"""JRJC""",4.43,4.58,3.386004515
